Moisture Level,Raw ADC,Time in s,Time of Day,Date
NEW TEST
0.0,0,320,12:39:49,30/04
0.0,0,321,12:39:50,30/04
0.28,9,322,12:39:51,30/04
0.37,12,323,12:39:52,30/04
0.09,3,324,12:39:53,30/04
0.0,0,325,12:39:54,30/04
0.0,0,326,12:39:55,30/04
0.0,0,327,12:39:56,30/04
0.0,0,328,12:39:57,30/04
0.0,0,330,12:39:58,30/04
0.28,9,331,12:39:59,30/04
0.4,13,332,12:40:00,30/04
0.09,3,333,12:40:01,30/04
0.12,4,334,12:40:02,30/04
0.0,0,335,12:40:03,30/04
0.0,0,336,12:40:04,30/04
0.0,0,337,12:40:05,30/04
0.0,0,338,12:40:06,30/04
0.0,0,339,12:40:07,30/04
0.34,11,340,12:40:08,30/04
0.28,9,341,12:40:09,30/04
0.0,0,342,12:40:10,30/04
0.0,0,343,12:40:11,30/04
0.0,0,344,12:40:12,30/04
0.0,0,345,12:40:13,30/04
0.0,0,346,12:40:14,30/04
0.0,0,347,12:40:15,30/04
0.34,11,348,12:40:16,30/04
0.03,1,349,12:40:17,30/04
0.0,0,350,12:40:18,30/04
0.0,0,351,12:40:19,30/04
0.0,0,352,12:40:20,30/04
0.0,0,353,12:40:21,30/04
0.37,12,354,12:40:22,30/04
0.09,3,355,12:40:23,30/04
0.0,0,356,12:40:24,30/04
0.0,0,357,12:40:25,30/04
0.0,0,358,12:40:26,30/04
0.25,8,359,12:40:27,30/04
0.22,7,360,12:40:28,30/04
0.0,0,361,12:40:29,30/04
0.0,0,362,12:40:30,30/04
0.0,0,363,12:40:31,30/04
0.0,0,364,12:40:32,30/04
0.37,12,365,12:40:33,30/04
0.09,3,366,12:40:34,30/04
0.0,0,367,12:40:35,30/04
0.12,4,368,12:40:36,30/04
0.09,3,369,12:40:37,30/04
0.0,0,370,12:40:38,30/04
0.0,0,371,12:40:39,30/04
0.0,0,372,12:40:40,30/04
0.0,0,373,12:40:41,30/04
0.37,12,374,12:40:42,30/04
0.0,0,375,12:40:43,30/04
0.0,0,376,12:40:44,30/04
0.0,0,377,12:40:45,30/04
0.25,8,378,12:40:46,30/04
0.15,5,379,12:40:47,30/04
0.0,0,380,12:40:48,30/04
0.0,0,381,12:40:49,30/04
0.0,0,382,12:40:50,30/04
0.0,0,383,12:40:51,30/04
0.37,12,384,12:40:52,30/04
0.12,4,385,12:40:53,30/04
0.0,0,386,12:40:54,30/04
0.0,0,387,12:40:55,30/04
0.0,0,388,12:40:56,30/04
0.4,13,389,12:40:57,30/04
0.06,2,390,12:40:58,30/04
0.0,0,391,12:40:59,30/04
0.0,0,392,12:41:00,30/04
0.0,0,393,12:41:01,30/04
0.31,10,394,12:41:02,30/04
0.19,6,395,12:41:03,30/04
0.0,0,396,12:41:04,30/04
0.0,0,397,12:41:05,30/04
0.0,0,398,12:41:06,30/04
0.37,12,399,12:41:07,30/04
0.0,0,400,12:41:08,30/04
0.0,0,401,12:41:09,30/04
0.0,0,402,12:41:10,30/04
0.0,0,403,12:41:11,30/04
0.12,4,404,12:41:12,30/04
0.0,0,405,12:41:13,30/04
0.0,0,406,12:41:14,30/04
0.0,0,407,12:41:15,30/04
0.25,8,408,12:41:16,30/04
0.12,4,409,12:41:17,30/04
0.0,0,410,12:41:18,30/04
0.0,0,411,12:41:19,30/04
0.0,0,412,12:41:20,30/04
0.31,10,413,12:41:21,30/04
0.0,0,414,12:41:22,30/04
0.0,0,415,12:41:23,30/04
0.0,0,416,12:41:24,30/04
0.0,0,417,12:41:25,30/04
0.22,7,418,12:41:26,30/04
0.0,0,419,12:41:27,30/04
0.0,0,420,12:41:28,30/04
0.0,0,421,12:41:29,30/04
0.34,11,422,12:41:30,30/04
0.12,4,423,12:41:31,30/04
0.0,0,424,12:41:32,30/04
0.0,0,425,12:41:33,30/04
0.0,0,426,12:41:34,30/04
0.34,11,427,12:41:35,30/04
0.0,0,428,12:41:36,30/04
0.0,0,429,12:41:37,30/04
0.0,0,430,12:41:38,30/04
0.0,0,431,12:41:39,30/04
0.19,6,432,12:41:40,30/04
0.0,0,433,12:41:41,30/04
0.0,0,434,12:41:42,30/04
0.0,0,435,12:41:43,30/04
0.19,6,436,12:41:44,30/04
0.0,0,437,12:41:45,30/04
0.0,0,438,12:41:46,30/04
0.0,0,439,12:41:47,30/04
0.46,15,440,12:41:48,30/04
0.06,2,441,12:41:49,30/04
0.0,0,442,12:41:50,30/04
0.0,0,443,12:41:51,30/04
0.0,0,444,12:41:52,30/04
0.37,12,445,12:41:53,30/04
0.12,4,446,12:41:54,30/04
0.0,0,447,12:41:55,30/04
0.0,0,448,12:41:56,30/04
0.0,0,449,12:41:57,30/04
0.37,12,450,12:41:58,30/04
0.0,0,451,12:41:59,30/04
0.0,0,452,12:42:00,30/04
0.0,0,453,12:42:01,30/04
